No.,Time,Source,Destination,Protocol,Length,Info
119,3.583831,10.252.98.176,10.172.68.30,IGMPv2,60,"Membership Query, general"
210,6.091661,10.26.231.137,10.213.236.199,TLSv1.2,117,"Application Data, Application Data"
211,6.091663,10.26.231.137,10.213.236.199,TCP,54,"443  >  50293 [FIN, ACK] Seq=64 Ack=1 Win=48180 Len=0"
212,6.092327,10.213.236.199,10.26.231.137,TCP,54,50293  >  443 [ACK] Seq=1 Ack=64 Win=65535 Len=0
213,6.09233,10.213.236.199,10.26.231.137,TCP,54,50293  >  443 [ACK] Seq=1 Ack=65 Win=65535 Len=0
214,6.092685,10.213.236.199,10.26.231.137,TLSv1.2,93,Application Data
215,6.093314,10.213.236.199,10.26.231.137,TLSv1.2,78,Application Data
216,6.093908,10.213.236.199,10.26.231.137,TCP,54,"50293  >  443 [FIN, ACK] Seq=64 Ack=65 Win=65535 Len=0"
217,6.096722,10.26.231.137,10.213.236.199,TCP,54,443  >  50293 [ACK] Seq=65 Ack=65 Win=48180 Len=0
286,8.094653,10.213.236.199,10.70.89.209,DNS,74,Standard query 0x812f HTTPS gdmf.apple.com
287,8.095226,10.213.236.199,10.70.89.209,DNS,74,Standard query 0x706f A gdmf.apple.com
288,8.100951,10.70.89.209,10.213.236.199,DNS,171,Standard query response 0x812f HTTPS gdmf.apple.com CNAME gdmf.v.aaplimg.com SOA a.gslb.aaplimg.com
289,8.101894,10.70.89.209,10.213.236.199,DNS,122,Standard query response 0x706f A gdmf.apple.com CNAME gdmf.v.aaplimg.com A 17.137.162.3
290,8.103756,10.213.236.199,10.12.202.113,TCP,78,50300  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2053606528 TSecr=0 SACK_PERM
291,8.107013,10.12.202.113,10.213.236.199,TCP,58,"443  >  50300 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460"
292,8.107825,10.213.236.199,10.12.202.113,TCP,54,50300  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0
293,8.107828,10.213.236.199,10.12.202.113,TLSv1.2,571,Client Hello (SNI=gdmf.apple.com)
294,8.110498,10.12.202.113,10.213.236.199,TCP,54,443  >  50300 [ACK] Seq=1 Ack=518 Win=15544 Len=0
299,8.254637,10.213.236.199,10.12.202.113,TCP,54,50300  >  443 [ACK] Seq=518 Ack=4097 Win=65535 Len=0
303,8.255446,10.213.236.199,10.12.202.113,TCP,54,50300  >  443 [ACK] Seq=518 Ack=6391 Win=65535 Len=0
304,8.270628,10.213.236.199,10.12.202.113,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
305,8.273626,10.12.202.113,10.213.236.199,TCP,54,443  >  50300 [ACK] Seq=6391 Ack=611 Win=15544 Len=0
306,8.344847,10.12.202.113,10.213.236.199,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
307,8.34587,10.213.236.199,10.12.202.113,TCP,54,50300  >  443 [ACK] Seq=611 Ack=6442 Win=65535 Len=0
308,8.346997,10.213.236.199,10.12.202.113,TLSv1.2,542,Application Data
311,8.347698,10.213.236.199,10.12.202.113,TCP,1514,50300  >  443 [ACK] Seq=1099 Ack=6442 Win=65535 Len=1460 [TCP PDU reassembled in 320]
312,8.3477,10.213.236.199,10.12.202.113,TCP,1514,50300  >  443 [ACK] Seq=2559 Ack=6442 Win=65535 Len=1460 [TCP PDU reassembled in 320]
313,8.347701,10.213.236.199,10.12.202.113,TCP,1514,50300  >  443 [ACK] Seq=4019 Ack=6442 Win=65535 Len=1460 [TCP PDU reassembled in 320]
314,8.347702,10.213.236.199,10.12.202.113,TCP,1514,50300  >  443 [ACK] Seq=5479 Ack=6442 Win=65535 Len=1460 [TCP PDU reassembled in 320]
