No.,Time,Source,Destination,Protocol,Length,Info
1,0.000000,10.209.225.230,10.132.243.49,DNS,62,Standard query 0xd774 A mtalk.google.com
2,0.032163,10.132.243.49,10.209.225.230,DNS,107,Standard query response 0xd774 A mtalk.google.com CNAME mobile-gtalk.l.google.com A 172.253.63.188
3,0.066458,10.209.225.230,10.49.89.149,TCP,60,47508  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=3852636579 TSecr=0 WS=512
4,0.111117,10.49.89.149,10.209.225.230,TCP,48,"5228  >  47508 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
5,0.111298,10.209.225.230,10.49.89.149,TCP,40,47508  >  5228 [ACK] Seq=1 Ack=1 Win=79872 Len=0
6,0.112108,10.209.225.230,10.49.89.149,TLSv1.3,576,Client Hello (SNI=mtalk.google.com)
7,0.112280,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=1 Ack=537 Win=2096128 Len=0
8,0.119871,10.209.225.230,10.141.224.128,TCP,60,40350  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=4275018190 TSecr=0 WS=512
9,0.155565,10.49.89.149,10.209.225.230,TLSv1.3,243,"Server Hello, Change Cipher Spec, Application Data"
10,0.155870,10.209.225.230,10.49.89.149,TCP,40,47508  >  5228 [ACK] Seq=537 Ack=204 Win=80896 Len=0
11,0.157049,10.209.225.230,10.49.89.149,TLSv1.3,104,"Change Cipher Spec, Application Data"
12,0.157162,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=204 Ack=601 Win=2096640 Len=0
13,0.173459,10.209.225.230,10.49.89.149,TLSv1.3,457,Application Data
14,0.173620,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=204 Ack=1018 Win=2096640 Len=0
15,0.225751,10.209.225.230,10.49.89.149,TLSv1.3,481,Application Data
16,0.226046,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=204 Ack=1459 Win=2096128 Len=0
17,0.230200,10.49.89.149,10.209.225.230,TLSv1.3,575,"Application Data, Application Data"
18,0.257503,10.49.89.149,10.209.225.230,TLSv1.3,158,"Application Data, Application Data"
19,0.257683,10.209.225.230,10.49.89.149,TCP,40,47508  >  5228 [ACK] Seq=1459 Ack=857 Win=81920 Len=0
20,0.275913,10.49.89.149,10.209.225.230,TLSv1.3,144,"Application Data, Application Data"
21,0.288094,10.209.225.230,10.49.89.149,TLSv1.3,64,Application Data
22,0.288334,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=961 Ack=1483 Win=2096640 Len=0
23,0.289365,10.209.225.230,10.49.89.149,TCP,40,"47508  >  5228 [FIN, ACK] Seq=1483 Ack=961 Win=81920 Len=0"
24,0.289531,10.49.89.149,10.209.225.230,TCP,40,5228  >  47508 [ACK] Seq=961 Ack=1484 Win=2096640 Len=0
25,0.327860,10.49.89.149,10.209.225.230,TCP,40,"5228  >  47508 [RST, ACK] Seq=961 Ack=1484 Win=65024 Len=0"
26,0.372939,10.141.224.128,10.209.225.230,TCP,48,"443  >  40350 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
27,0.373334,10.209.225.230,10.141.224.128,TCP,40,40350  >  443 [ACK] Seq=1 Ack=1 Win=79872 Len=0
28,0.375762,10.209.225.230,10.141.224.128,TCP,148,"40350  >  443 [PSH, ACK] Seq=1 Ack=1 Win=79872 Len=108"
29,0.376249,10.141.224.128,10.209.225.230,TCP,40,443  >  40350 [ACK] Seq=1 Ack=109 Win=2096640 Len=0
30,0.668682,10.141.224.128,10.209.225.230,TCP,106,"443  >  40350 [PSH, ACK] Seq=1 Ack=109 Win=2097152 Len=66"
31,0.670030,10.209.225.230,10.141.224.128,TCP,40,40350  >  443 [ACK] Seq=109 Ack=67 Win=79872 Len=0
32,0.682841,10.209.225.230,10.141.224.128,TCP,590,"40350  >  443 [PSH, ACK] Seq=109 Ack=67 Win=79872 Len=550"
33,0.683370,10.141.224.128,10.209.225.230,TCP,40,443  >  40350 [ACK] Seq=67 Ack=659 Win=2096128 Len=0
34,0.990610,10.141.224.128,10.209.225.230,TCP,145,"443  >  40350 [PSH, ACK] Seq=67 Ack=659 Win=2097152 Len=105"
35,1.030266,10.209.225.230,10.141.224.128,TCP,40,40350  >  443 [ACK] Seq=659 Ack=172 Win=79872 Len=0
36,5.309802,10.209.225.230,10.49.89.149,TCP,60,47516  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=3852641820 TSecr=0 WS=512
37,5.371353,10.49.89.149,10.209.225.230,TCP,48,"5228  >  47516 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
38,5.371766,10.209.225.230,10.49.89.149,TCP,40,47516  >  5228 [ACK] Seq=1 Ack=1 Win=79872 Len=0
39,5.374605,10.209.225.230,10.49.89.149,TLSv1.3,576,Client Hello (SNI=mtalk.google.com)
40,5.375201,10.49.89.149,10.209.225.230,TCP,40,5228  >  47516 [ACK] Seq=1 Ack=537 Win=2096128 Len=0
41,5.433530,10.49.89.149,10.209.225.230,TLSv1.3,243,"Server Hello, Change Cipher Spec, Application Data"
42,5.434139,10.209.225.230,10.49.89.149,TCP,40,47516  >  5228 [ACK] Seq=537 Ack=204 Win=80896 Len=0
43,5.437386,10.209.225.230,10.49.89.149,TLSv1.3,104,"Change Cipher Spec, Application Data"
44,5.437693,10.49.89.149,10.209.225.230,TCP,40,5228  >  47516 [ACK] Seq=204 Ack=601 Win=2096640 Len=0
45,5.456604,10.209.225.230,10.49.89.149,TLSv1.3,460,Application Data
46,5.456894,10.49.89.149,10.209.225.230,TCP,40,5228  >  47516 [ACK] Seq=204 Ack=1021 Win=2096640 Len=0
47,5.505596,10.49.89.149,10.209.225.230,TLSv1.3,575,"Application Data, Application Data"
48,5.536705,10.49.89.149,10.209.225.230,TLSv1.3,158,"Application Data, Application Data"
49,5.536973,10.209.225.230,10.49.89.149,TCP,40,47516  >  5228 [ACK] Seq=1021 Ack=857 Win=81920 Len=0
50,16.677621,10.209.225.230,10.132.243.49,DNS,65,Standard query 0xd580 A sdk-01.moengage.com
51,16.722180,10.132.243.49,10.209.225.230,DNS,129,Standard query response 0xd580 A sdk-01.moengage.com A 3.162.3.19 A 3.162.3.5 A 3.162.3.65 A 3.162.3.126
52,16.733934,10.209.225.230,10.1.154.217,TCP,60,40550  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM TSval=57213365 TSecr=0 WS=512
53,16.774236,10.1.154.217,10.209.225.230,TCP,48,"443  >  40550 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
54,16.774788,10.209.225.230,10.1.154.217,TCP,40,40550  >  443 [ACK] Seq=1 Ack=1 Win=79872 Len=0
55,16.783798,10.209.225.230,10.1.154.217,TLSv1.3,557,Client Hello (SNI=sdk-01.moengage.com)
56,16.784760,10.1.154.217,10.209.225.230,TCP,40,443  >  40550 [ACK] Seq=1 Ack=518 Win=2096128 Len=0
57,16.840310,10.1.154.217,10.209.225.230,TLSv1.3,280,"Server Hello, Change Cipher Spec, Application Data, Application Data"
58,16.841137,10.209.225.230,10.1.154.217,TCP,40,40550  >  443 [ACK] Seq=518 Ack=241 Win=80896 Len=0
59,16.847367,10.209.225.230,10.1.154.217,TLSv1.3,104,"Change Cipher Spec, Application Data"
60,16.847684,10.1.154.217,10.209.225.230,TCP,40,443  >  40550 [ACK] Seq=241 Ack=582 Win=2096640 Len=0
61,16.853498,10.209.225.230,10.1.154.217,TCP,1064,40550  >  443 [ACK] Seq=582 Ack=241 Win=80896 Len=1024 [TCP PDU reassembled in 63]
62,16.853605,10.209.225.230,10.1.154.217,TCP,1064,40550  >  443 [ACK] Seq=1606 Ack=241 Win=80896 Len=1024 [TCP PDU reassembled in 63]
63,16.853649,10.209.225.230,10.1.154.217,TLSv1.3,288,Application Data
64,16.854087,10.1.154.217,10.209.225.230,TCP,40,443  >  40550 [ACK] Seq=241 Ack=2878 Win=2094592 Len=0
65,16.888079,10.1.154.217,10.209.225.230,TLSv1.3,219,Application Data
66,16.920727,10.209.225.230,10.1.154.217,TCP,40,40550  >  443 [ACK] Seq=2878 Ack=420 Win=81920 Len=0
67,16.930256,10.1.154.217,10.209.225.230,TLSv1.3,614,"Application Data, Application Data"
68,16.930658,10.209.225.230,10.1.154.217,TCP,40,40550  >  443 [ACK] Seq=2878 Ack=994 Win=83456 Len=0
69,21.432209,10.209.225.230,10.132.243.49,DNS,72,Standard query 0x7ac9 A android.clients.google.com
70,21.469247,10.132.243.49,10.209.225.230,DNS,160,Standard query response 0x7ac9 A android.clients.google.com CNAME android.l.google.com A 142.250.69.46 A 142.250.69.110 A 142.250.69.78 A 142.250.69.142
